,sex,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,real_gdp_current,MED_E_current,MEI_E_current,real_gdp_minus_5,MED_E_minus_5,MEI_E_minus_5,real_gdp_minus_10,MED_E_minus_10,MEI_E_minus_10,people_in_low_work_intensity_household_perc,material_deprivation_rate_perc,mean-median,qoutient
36,F,Czechia,2015,81.6,16230,11579.623643100218,12779.758869065392,14970.0,9675.94166686962,10759.091771593137,13630.0,7754.677531944442,8695.453318259755,6.7,11.1,1200.135225965174,0.10364198897606496
37,F,Czechia,2016,82.1,16640,12456.54216299865,13609.447827836953,15260.0,10020.953773123332,11141.197682828446,14490.0,8331.59284219151,9261.296449391084,6.6,9.4,1152.905664838303,0.09255422971737168
38,F,Czechia,2017,82.0,17490,12534.683898130612,13749.516985006685,15130.0,10513.370798933549,11666.615323537806,15200.0,8912.957980059598,9945.99661864596,6.1,8.6,1214.8330868760731,0.09691772818118294
39,F,Czechia,2018,82.0,17960,13053.827005608013,14245.706056054776,15130.0,10670.311837803454,11856.542771802058,15430.0,9653.954519378756,10754.424179345475,5.0,6.8,1191.8790504467634,0.09130495217492342
40,F,Czechia,2019,82.2,18570,13716.817730275337,14998.851983382589,15470.0,11005.007275959824,12157.727876003344,14610.0,9456.981144188208,10559.816806414783,5.0,6.0,1282.034253107251,0.09346440831371439
41,F,Czechia,2020,81.3,17670,13992.062657651639,15320.662750327318,16230.0,11579.623643100218,12779.758869065392,14970.0,9675.94166686962,10759.091771593137,5.0,5.4,1328.6000926756788,0.0949538409870632
42,F,Czechia,2021,80.5,18380,13807.864694309168,15323.637633171002,16640.0,12456.54216299865,13609.447827836953,15260.0,10020.953773123332,11141.197682828446,5.4,4.9,1515.7729388618336,0.10977605679222441
43,F,Czechia,2022,81.9,18450,15199.124749633076,16673.66389341703,17490.0,12534.683898130612,13749.516985006685,15130.0,10513.370798933549,11666.615323537806,4.6,5.0,1474.5391437839535,0.09701474052442069
44,F,Czechia,2023,82.9,18240,16111.32176438907,17631.44776694133,17960.0,13053.827005608013,14245.706056054776,15130.0,10670.311837803454,11856.542771802058,4.7,6.6,1520.1260025522624,0.09435141478660082
45,F,Germany,2015,83.1,37770,20164.95508701083,22651.773532070365,35360.0,17646.96779917355,19893.905068736585,32900.0,15680.018963289365,17284.947151003253,10.3,11.6,2486.8184450595363,0.12332377802623572
46,F,Germany,2016,83.5,38330,20970.69772268397,23443.830500477725,36690.0,18439.514066725507,20583.303831694648,34240.0,15135.253529617206,16572.032876113743,10.3,9.8,2473.132777793755,0.11793278461682137
47,F,Germany,2017,83.4,39220,21234.478919740184,23661.814371733995,36800.0,18998.18462544978,21040.93233396558,35310.0,17213.362616989845,19353.66743161611,10.2,8.5,2427.335451993811,0.11431104390027155
48,F,Germany,2018,83.3,39540,21747.14097456038,24268.661645889926,36840.0,19137.012176993907,21711.640327145677,35730.0,17949.57897464705,20380.296196174324,10.0,8.1,2521.5206713295447,0.1159472260872911
49,F,Germany,2019,83.7,39840,22316.42003928133,24628.59586002662,37480.0,19087.016993600002,21451.33653313829,33870.0,17877.512224357954,20172.082924537648,9.3,7.0,2312.1758207452913,0.10360872472714723
50,F,Germany,2020,83.5,38180,24879.68425928917,28246.24949571656,37770.0,20164.95508701083,22651.773532070365,35360.0,17646.96779917355,19893.905068736585,6.5,7.0,3366.565236427392,0.13531382477936546
51,F,Germany,2021,83.3,39570,24145.666069874755,27671.032254453617,38330.0,20970.69772268397,23443.830500477725,36690.0,18439.514066725507,20583.303831694648,7.8,7.1,3525.366184578863,0.1460040975625548
52,F,Germany,2022,83.0,39820,24034.93787457995,27119.510549866696,39220.0,21234.478919740184,23661.814371733995,36800.0,18998.18462544978,21040.93233396558,8.1,9.5,3084.572675286745,0.12833703550151793
53,F,Germany,2023,83.5,39380,25041.280117664202,28415.573333268378,39540.0,21747.14097456038,24268.661645889926,36840.0,19137.012176993907,21711.640327145677,7.7,10.5,3374.293215604175,0.1347492300612834
54,F,Denmark,2015,82.7,47900,20353.64268146507,22700.57467272657,46190.0,17947.9996552588,18892.149242980457,46930.0,15807.225369672757,16651.22945227211,13.1,7.1,2346.931991261499,0.11530771312000675
55,F,Denmark,2016,82.8,48970,21136.197851371617,23356.79834216068,46610.0,19279.534353805164,21050.06088155862,48550.0,16059.417259281454,17089.532229592467,13.0,5.6,2220.6004907890638,0.10506149244079675
56,F,Denmark,2017,83.1,50150,20983.60882479321,23190.072864969385,46430.0,19282.83097676704,21016.660858962307,48820.0,16832.653606441396,18007.939411536285,10.7,7.0,2206.4640401761753,0.105151790552306
57,F,Denmark,2018,82.9,50830,21553.227337194185,23978.10662648229,46890.0,19679.431752524608,21351.366445949978,48330.0,17352.43542579744,18872.876317837497,11.6,7.8,2424.8792892881065,0.11250655186583204
58,F,Denmark,2019,83.5,51500,22376.61422978739,24907.293109414328,47240.0,20126.72952721359,22401.315478778095,45680.0,17707.746711956985,18655.528192873462,10.9,6.4,2530.6788796269393,0.11309480753608114
