,sex,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE,real_gdp_current,MED_E_current,MEI_E_current,real_gdp_minus_5,MED_E_minus_5,MEI_E_minus_5,real_gdp_minus_10,MED_E_minus_10,MEI_E_minus_10,people_in_low_work_intensity_household_perc,material_deprivation_rate_perc,mean-median,qoutient
20,T,Bulgaria,2018,75.0,7410,7394.068245906517,9457.334486414893,6130.0,6028.419466730692,7188.057074028299,5730.0,4973.202411629768,5918.267445065167,8.8,36.0,2063.2662405083756,0.2790434402131242
21,T,Bulgaria,2019,75.1,7800,8617.978836707523,11131.755299288925,6260.0,6981.672215735963,8166.670813268168,5570.0,5785.10127998454,6697.806805564737,9.0,34.6,2513.7764625814016,0.29168979295634745
22,T,Bulgaria,2020,73.3,7620,8791.445147595286,11288.429116464264,6560.0,7181.2028033861225,8642.093084830005,5690.0,5995.472609748886,6934.848483720157,8.1,34.2,2496.983968868977,0.28402429031272225
23,T,Bulgaria,2021,71.2,8270,9483.495969748252,12325.382900647834,6840.0,7027.362248313163,8490.71807409366,5960.0,5997.267041896689,6976.458441268004,8.1,31.0,2841.886930899582,0.2996665934129165
24,T,Bulgaria,2022,74.2,8660,9959.36786161713,12403.140546922008,7130.0,7874.67107643441,9833.345756481287,6070.0,5813.47418952532,6675.557634875351,8.4,30.9,2443.772685304879,0.24537427668708253
25,T,Bulgaria,2023,75.8,8850,11539.48527047096,14310.887173623505,7410.0,7394.068245906517,9457.334486414893,6130.0,6028.419466730692,7188.057074028299,6.9,29.7,2771.401903152546,0.24016685651000766
26,T,Cyprus,2015,81.8,20810,16157.495287759264,19701.594525511526,23510.0,18837.324619417308,22281.6295484902,23100.0,15112.759589786565,17359.307588539777,10.5,20.0,3544.0992377522616,0.21934706924762226
27,T,Cyprus,2016,82.7,22060,17204.993565778328,20319.1255363001,23020.0,19670.07931612624,23239.298121652326,23790.0,16624.73231299547,19262.0259129368,10.5,18.5,3114.131970521772,0.1810016352877894
28,T,Cyprus,2017,82.2,23130,17568.005427954377,20872.058442891514,21930.0,18844.387421069085,22880.238585669133,24480.0,18434.335588606886,21728.36910551656,9.2,15.2,3304.053014937137,0.18807217634847134
29,T,Cyprus,2018,82.9,24300,18161.317978805473,20983.920716770204,20510.0,17760.726493677463,21948.882652347133,24740.0,18992.56487756336,21925.561728472818,7.7,12.7,2822.602737964731,0.15541838655425505
30,T,Cyprus,2019,82.3,25390,19170.128507777274,23103.818964275233,20170.0,16261.334200536434,21091.06766545499,23600.0,19238.88799351429,22778.692477431076,6.8,10.7,3933.6904564979595,0.20519896123294484
31,T,Cyprus,2020,82.4,24240,18954.038517318593,22262.926865218313,20810.0,16157.495287759264,19701.594525511526,23510.0,18837.324619417308,22281.6295484902,5.9,8.9,3308.8883478997195,0.1745743180207394
32,T,Cyprus,2021,81.3,26600,19282.766107190342,22734.21199755337,22060.0,17204.993565778328,20319.1255363001,23020.0,19670.07931612624,23239.298121652326,5.8,9.0,3451.4458903630293,0.1789912231044498
33,T,Cyprus,2022,81.6,27990,20516.577965819124,23680.855714396617,23130.0,17568.005427954377,20872.058442891514,21930.0,18844.387421069085,22880.238585669133,4.3,9.4,3164.277748577493,0.15423028898138957
34,T,Cyprus,2023,82.9,28220,21659.096646539758,25258.51811795548,24300.0,18161.317978805473,20983.920716770204,20510.0,17760.726493677463,21948.882652347133,4.4,8.5,3599.4214714157206,0.16618520754376714
35,T,Czechia,2015,78.7,16230,11979.161929814944,13168.540410395615,14970.0,9974.363439404167,11080.04120199488,13630.0,7960.7378048232285,8953.606768555077,6.2,9.7,1189.3784805806717,0.09928728633515062
36,T,Czechia,2016,79.1,16640,12876.504754411668,14096.74131767667,15260.0,10345.523673374779,11458.59644208355,14490.0,8571.692873591457,9501.460227929016,6.1,8.4,1220.2365632650017,0.09476457987148507
37,T,Czechia,2017,79.1,17490,12979.05168277157,14263.620702241325,15130.0,10878.792559830186,12046.902536354595,15200.0,9231.358809934209,10243.706848502776,5.5,7.4,1284.5690194697563,0.09897248665516117
38,T,Czechia,2018,79.1,17960,13568.277134046686,14841.792287114384,15130.0,11015.811496624154,12235.008011430322,15430.0,10000.892944258354,11109.75007468308,4.6,5.7,1273.5151530676976,0.09385975393088664
39,T,Czechia,2019,79.3,18570,14321.289732648263,15629.336249238004,15470.0,11387.767921169016,12567.351719827859,14610.0,9798.464642951929,10883.201561227996,4.6,5.1,1308.0465165897403,0.09133580431710595
40,T,Czechia,2020,78.3,17670,14585.86562774489,15961.1248874494,16230.0,11979.161929814944,13168.540410395615,14970.0,9974.363439404167,11080.04120199488,4.5,4.6,1375.2592597045095,0.09428711979140435
41,T,Czechia,2021,77.2,18380,14237.117246585507,15851.861444985203,16640.0,12876.504754411668,14096.74131767667,15260.0,10345.523673374779,11458.59644208355,5.1,4.3,1614.744198399696,0.11341791813837598
42,T,Czechia,2022,79.0,18450,15729.98155927845,17328.034023328462,17490.0,12979.05168277157,14263.620702241325,15130.0,10878.792559830186,12046.902536354595,4.2,4.3,1598.0524640500116,0.10159277415728361
43,T,Czechia,2023,79.9,18240,16905.75789572027,18338.055211347797,17960.0,13568.277134046686,14841.792287114384,15130.0,11015.811496624154,12235.008011430322,4.4,5.6,1432.2973156275257,0.08472245518138614
44,T,Germany,2015,80.7,37770,20894.745366377418,23491.321807488992,35360.0,18104.45044775104,20500.043792420314,32900.0,16143.377854608221,17858.45011590382,9.7,10.4,2596.5764411115742,0.1242693507665248
45,T,Germany,2016,81.0,38330,21650.71366681311,24280.54661518485,36690.0,18941.076979085377,21210.145958379126,34240.0,15569.323348183705,17092.439583473628,9.6,8.6,2629.832948371739,0.12146634004045923
46,T,Germany,2017,81.1,39220,21816.20349800208,24397.61655579859,36800.0,19562.02556895565,21800.18047900411,35310.0,17811.650031224628,20145.857118989683,9.5,7.5,2581.4130577965116,0.11832549407750603
47,T,Germany,2018,81.0,39540,22298.24258285941,24971.433617960043,36840.0,19810.77738009262,22522.870144895016,35730.0,18571.410527350225,21126.9847395702,9.4,7.3,2673.1910351006336,0.11988348521939156
48,T,Germany,2019,81.3,39840,23012.952168261167,25483.748739292907,37480.0,19784.35423677745,22193.31359052091,33870.0,18480.91152711737,20793.267014651457,8.5,6.4,2470.7965710317403,0.10736547631813163
49,T,Germany,2020,81.1,38180,25472.865902843776,28959.80542701424,37770.0,20894.745366377418,23491.321807488992,35360.0,18104.45044775104,20500.043792420314,6.4,6.9,3486.9395241704624,0.13688838693965655
50,T,Germany,2021,80.8,39570,24793.026584913696,28474.248045240474,38330.0,21650.71366681311,24280.54661518485,36690.0,18941.076979085377,21210.145958379126,7.4,6.9,3681.2214603267785,0.14847809918321
51,T,Germany,2022,80.7,39820,24590.39381283777,27806.161554969513,39220.0,21816.20349800208,24397.61655579859,36800.0,19562.02556895565,21800.18047900411,7.9,9.3,3215.767742131742,0.13077333232674396
52,T,Germany,2023,81.1,39380,25642.721955121022,29189.66251734819,39540.0,22298.24258285941,24971.433617960043,36840.0,19810.77738009262,22522.870144895016,7.7,10.4,3546.9405622271697,0.138321531093107
53,T,Denmark,2015,80.8,47900,20735.411392170605,23045.753506229845,46190.0,18332.685184033246,19251.846547639532,46930.0,16172.449522780242,17050.868792393074,13.2,6.6,2310.34211405924,0.11142012426778242
54,T,Denmark,2016,80.9,48970,21729.90515943094,24000.108225719232,46610.0,19673.60325665677,21303.85727978349,48550.0,16503.304866283735,17453.823012163444,12.4,5.7,2270.2030662882935,0.10447367577685947
